[Sun Sep 18 16:05:57 EEST 2022] MihiBlu | Location: X: -74 Y: 64 Z: -3 | Line: 0 | Shop
[Sun Sep 18 16:05:57 EEST 2022] MihiBlu | Location: X: -74 Y: 64 Z: -3 | Line: 1 | 
[Sun Sep 18 16:05:57 EEST 2022] MihiBlu | Location: X: -74 Y: 64 Z: -3 | Line: 2 | 
[Sun Sep 18 16:05:57 EEST 2022] MihiBlu | Location: X: -74 Y: 64 Z: -3 | Line: 3 | 
[Sun Sep 18 16:06:04 EEST 2022] MihiBlu | Location: X: -74 Y: 64 Z: -5 | Line: 0 | Jobs
[Sun Sep 18 16:06:04 EEST 2022] MihiBlu | Location: X: -74 Y: 64 Z: -5 | Line: 1 | +
[Sun Sep 18 16:06:04 EEST 2022] MihiBlu | Location: X: -74 Y: 64 Z: -5 | Line: 2 | Autotool
[Sun Sep 18 16:06:04 EEST 2022] MihiBlu | Location: X: -74 Y: 64 Z: -5 | Line: 3 | 
[Sun Sep 18 16:06:55 EEST 2022] MihiBlu | Location: X: -74 Y: 64 Z: -5 | Line: 0 | Jobs
[Sun Sep 18 16:06:55 EEST 2022] MihiBlu | Location: X: -74 Y: 64 Z: -5 | Line: 1 | +
[Sun Sep 18 16:06:55 EEST 2022] MihiBlu | Location: X: -74 Y: 64 Z: -5 | Line: 2 | Autotool
[Sun Sep 18 16:06:55 EEST 2022] MihiBlu | Location: X: -74 Y: 64 Z: -5 | Line: 3 | 
[Sun Sep 18 16:15:53 EEST 2022] MihiBlu | Location: X: -74 Y: 64 Z: -3 | Line: 0 | Shop
[Sun Sep 18 16:15:53 EEST 2022] MihiBlu | Location: X: -74 Y: 64 Z: -3 | Line: 1 | 
[Sun Sep 18 16:15:53 EEST 2022] MihiBlu | Location: X: -74 Y: 64 Z: -3 | Line: 2 | 
[Sun Sep 18 16:15:53 EEST 2022] MihiBlu | Location: X: -74 Y: 64 Z: -3 | Line: 3 | 
[Sun Sep 18 16:28:18 EEST 2022] MihiBlu | Location: X: -74 Y: 64 Z: -3 | Line: 0 | Shop
[Sun Sep 18 16:28:18 EEST 2022] MihiBlu | Location: X: -74 Y: 64 Z: -3 | Line: 1 | 
[Sun Sep 18 16:28:18 EEST 2022] MihiBlu | Location: X: -74 Y: 64 Z: -3 | Line: 2 | 
[Sun Sep 18 16:28:18 EEST 2022] MihiBlu | Location: X: -74 Y: 64 Z: -3 | Line: 3 | 
[Sun Sep 18 17:28:56 EEST 2022] MihiBlu | Location: X: -69 Y: 65 Z: -6 | Line: 0 | 
[Sun Sep 18 17:28:56 EEST 2022] MihiBlu | Location: X: -69 Y: 65 Z: -6 | Line: 1 | 
[Sun Sep 18 17:28:56 EEST 2022] MihiBlu | Location: X: -69 Y: 65 Z: -6 | Line: 2 | 
